NO;OSM Feature Class;OSM MCE FieldName;OSM  Attribute Value;OSM Attribute definition;Mapping Description;DGIF Feature Alpha;DGIF Feature 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;
82;amenity_Point;amenity;parking;Car park;OK;VehicleLot;AQ140;meansTransportation;TME;automobile;1;;;;;
83;amenity_Point;amenity;parking_entrance ;An entrance or exit to an underground or multi-storey parking facility;Generalization;EntranceExit;AQ090;;;;;;;;;
84;amenity_Point;amenity;taxi; A place where taxis wait for passengers ;not in DGIF;;;;;;;;;;;
85;amenity_Point;amenity;atm;an ATM or cash point ;not in DGIF;;;;;;;;;;;
86;amenity_Point;amenity;bank; a bank (for a bank that also has an ATM, it is preferred that a separate node for each ATM is added)  ;OK;Building;AL013;featureFunction;FFN;financialServices;640;;;;;
87;amenity_Point;amenity;bureau_de_change;Bureau de change, currency exchange, Wechsel, cambio  a place to change foreign bank notes and travellers cheques;OK;Building;AL013;featureFunction;FFN;financialServices;640;;;;;
88;amenity_Point;amenity;baby_hatch ;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted;Generalization;Building;AL013;featureFunction;FFN;residentialCare;875;;;;;
89;amenity_Point;amenity;clinic;A medium-sized medical facility or health centre;OK;Building;AL013;featureFunction;FFN;outPatientCare;862;;;;;
90;amenity_Point;amenity;dentist;A dentist practice / surgery;Generalization;Building;AL013;featureFunction;FFN;humanHealthActivities;860;;;;;
91;amenity_Point;amenity;doctors; A doctor's practice / surgery ;Generalization;Building;AL013;featureFunction;FFN;humanHealthActivities;860;;;;;
92;amenity_Point;amenity;hospital ;Often used in conjunction with emergency=* to note whether or not the hospital has emergency facilities (A&E (brit.) or ER (am.));OK;Building;AL013;featureFunction;FFN;inPatientCare;861;;;;;
93;amenity_Point;amenity;ambulance_station;Found in Canada dataset;Generalization;Building;AL013;featureFunction;FFN;humanHealthActivities;860;;;;;
94;amenity_Point;amenity;nursing_home  ;A home for disabled or elderly persons who need permanent care;OK;Building;AL013;featureFunction;FFN;residentialCare;875;;;;;
95;amenity_Point;amenity;pharmacy;Pharmacy;OK;Building;AL013;featureFunction;FFN;pharmacy;477;;;;;
96;amenity_Point;amenity;social_facility ; A facility that provides social services ;OK;Building;AL013;featureFunction;FFN;socialWork;887;;;;;
97;amenity_Point;amenity;veterinary ;A place where a veterinary surgeon (vet) practices;OK;Building;AL013;featureFunction;FFN;veterinary;757;;;;;
98;amenity_Point;amenity;blood_donation ;A place where you can donate blood, plasma and/or platelets, and possibly have stem cell samples taken;Generalization;Building;AL013;featureFunction;FFN;humanHealthActivities;860;;;;;
99;amenity_Point;amenity;arts_centre ;A venue where a variety of arts are performed or conducted;Generalization;Building;AL013;featureFunction;FFN;culturalArtsEntertainment;890;;;;;
100;amenity_Point;amenity;brothel ;An establishment specifically dedicated to prostitution;Generalization;Building;AL013;featureFunction;FFN;adultEntertainment;966;;;;;
101;amenity_Point;amenity;casino;A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds;OK;Building;AL013;featureFunction;FFN;gambling;909;;;;;
102;amenity_Point;amenity;cinema;A place where films are shown (US: movie theater);OK;Building;AL013;featureFunction;FFN;cinema;594;;;;;
